Index,Team,ERA,W-L,G,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA
1,Nebraska,3.85,20-5,25,1,12,224.2,193,112,96,73,206-59,37,4,19,847,0.228,23,25,2,5,8
2,Maryland,4.7,20-8,28,1,10,245,229,152,128,114,190-56,53,1,33,923,0.248,15,28,1,15,9
3,Purdue,4.94,17-12,29,2,6,256.2,287,158,141,106,244-72,53,10,25,1013,0.283,21,29,1,8,5
4,Michigan State,4.99,12-14,26,0,5,231,250,153,128,110,232-57,40,2,29,914,0.274,33,35,0,6,10
5,Rutgers,5.08,19-9,28,1,8,244.2,239,162,138,113,248-75,52,1,21,928,0.258,30,38,2,11,14
6,Minnesota,5.13,11-12,23,0,2,201.2,198,142,115,113,228-63,31,7,13,778,0.254,37,37,3,8,8
7,Ohio State,6.03,12-12,24,0,5,209,236,157,140,117,192-47,47,6,22,832,0.284,16,23,8,4,9
8,Iowa,6.14,15-11,26,1,4,224.1,201,170,153,159,291-89,41,5,30,847,0.237,27,55,4,9,9
9,Northwestern,6.5,10-15,25,1,3,212,235,167,153,107,151-38,40,7,25,820,0.287,18,43,0,14,12
10,Illinois,6.57,14-12,26,0,6,227.1,243,186,166,120,231-58,52,0,44,888,0.274,30,35,2,7,11
11,Penn State,6.85,13-12,25,0,7,216.2,236,187,165,132,175-47,44,3,31,852,0.277,25,40,1,6,8
12,Michigan,7.02,11-17,28,0,3,247.1,288,230,193,167,183-52,62,6,39,975,0.295,38,45,2,16,14
13,Indiana,7.05,15-14,29,0,6,249,269,221,195,130,280-77,47,0,51,1006,0.267,24,38,2,7,4